RowNumber,LeadId,Surname,months_since_lead_gen,lead_gen_channel,Gender,Age,City,airline_loyalty_tier,no_of_family_members,is_6M_enquiry,is_3M_active,Converted_y_N
92,15731511,Ritchie,6,Networks,Male,45,Surat,Base,2,0,1,0
93,15809248,Cole,3,Networks,Female,36,Cochin,None,2,0,1,0
94,15640635,Capon,5,Networks,Male,29,Mumbai,None,2,1,1,0
95,15676966,Capon,5,Organic,Male,42,Delhi,None,2,1,0,0
96,15699461,Fiorentini,3,Organic,Male,35,Cochin,Platinum,1,1,0,0
97,15738721,Graham,5,Organic,Male,41,Ahmedabad,None,1,1,0,0
98,15693683,Yuille,6,Direct,Male,29,Mumbai,None,2,1,1,0
99,15604348,Allard,5,Organic,Male,22,Mumbai,None,2,0,0,0
100,15633059,Fanucci,2,Networks,Male,34,Ahmedabad,None,2,0,0,0
101,15808582,Fu,4,Networks,Female,40,New Delhi,None,1,1,1,0
102,15743192,Hung,4,Networks,Female,44,New Delhi,None,2,0,0,0
103,15580146,Hung,5,Networks,Male,31,Ahmedabad,None,1,0,1,0
104,15776605,Bradley,3,Organic,Male,36,Surat,None,2,0,1,0
105,15804919,Dunbabin,4,Organic,Female,65,Hyderabad,None,1,1,1,1
106,15613854,Mauldon,4,Organic,Female,46,Delhi,Base,2,1,1,1
107,15599195,Stiger,3,Direct,Male,32,Hyderabad,None,1,1,1,0
108,15812878,Parsons,5,Direct,Female,36,Bangalore,None,1,1,0,0
109,15602312,Walkom,4,Organic,Male,33,Chennai,Gold,1,0,0,0
110,15744689,T'ang,2,Direct,Male,35,Ahmedabad,None,1,0,1,1
111,15803526,Eremenko,4,Direct,Male,30,Chandigarh,None,1,1,0,0
112,15665790,Rowntree,3,Direct,Male,39,Surat,Base,2,0,1,0
113,15715951,Thorpe,3,Networks,Male,42,Bangalore,None,1,0,0,0
114,15591100,Chiemela,4,Organic,Male,36,Ahmedabad,None,1,1,0,0
115,15609618,Fanucci,5,Direct,Male,28,Ahmedabad,Gold,2,1,0,1
116,15675522,Ko,4,Direct,Female,30,Ahmedabad,Silver,2,1,1,0
117,15705512,Welch,4,Direct,Female,37,New Delhi,Platinum,1,0,1,0
118,15698028,Duncan,3,Networks,Female,41,Hyderabad,None,2,0,1,0
119,15661670,Chidozie,3,Direct,Female,31,Mumbai,Base,1,0,1,1
120,15600781,Wu,4,Direct,Male,34,Delhi,Platinum,2,0,1,0
121,15682472,Culbreth,6,Networks,Male,34,Mumbai,Silver,2,0,0,0
122,15580203,Kennedy,4,Organic,Male,39,New Delhi,Base,1,0,0,0
123,15690673,Cameron,4,Networks,Female,39,New Delhi,None,2,0,1,0
124,15760085,Calabresi,4,Direct,Female,48,Cochin,Silver,1,1,1,0
125,15779659,Zetticci,4,Networks,Female,28,Chandigarh,None,1,0,0,0
126,15627360,Fuller,2,Networks,Male,42,Ahmedabad,Gold,1,0,1,1
127,15671137,MacDonald,3,Networks,Female,52,Hyderabad,None,1,1,0,1
128,15782688,Piccio,4,Direct,Male,56,Kolkata,Gold,1,0,1,1
129,15575492,Kennedy,6,Networks,Female,41,Surat,None,2,0,1,0
130,15591607,Fernie,5,Networks,Male,24,Ahmedabad,None,1,0,1,0
131,15740404,He,5,Networks,Female,34,Chandigarh,None,2,1,1,0
132,15718369,Kaodilinakachukwu,5,Direct,Female,33,Ahmedabad,Silver,1,1,1,0
133,15677871,Cocci,4,Networks,Male,38,Ahmedabad,Base,1,1,1,0
134,15642004,Alekseeva,4,Networks,Male,25,Hyderabad,None,2,1,0,0
135,15712543,Chinweike,5,Direct,Male,39,Surat,Base,2,1,1,0
136,15584518,Arthur,3,Direct,Female,50,Chennai,Silver,2,1,1,0
137,15802381,Li,2,Direct,Female,34,Chennai,None,1,1,0,0
138,15610156,Ma,4,Networks,Male,40,Bangalore,Silver,1,1,0,0
139,15594408,Chia,3,Organic,Female,48,Bangalore,Platinum,1,0,1,1
140,15640905,Vasin,3,Organic,Female,35,Hyderabad,Silver,2,1,0,1
141,15698932,Groves,5,Direct,Male,44,Cochin,Silver,1,0,1,0
142,15724944,Tien,4,Networks,Male,34,Surat,None,2,1,1,0
143,15628145,Forwood,4,Networks,Female,43,Chennai,Base,1,1,1,0
144,15713483,Greeves,5,Organic,Male,52,Bangalore,None,1,0,1,1
145,15612350,Taylor,4,Networks,Female,31,Chennai,None,1,0,1,1
146,15800703,Madukwe,2,Organic,Female,21,Chennai,Base,1,1,1,0
147,15705707,Bennelong,4,Organic,Female,29,Mumbai,Silver,2,0,1,0
148,15754105,Olisanugo,4,Networks,Male,37,Chennai,Base,1,0,0,0
149,15703264,Chukwufumnanya,5,Networks,Male,44,Ahmedabad,Base,1,0,1,0
150,15794413,Harris,2,Networks,Male,32,Kolkata,None,2,1,0,0
151,15650237,Morgan,5,Organic,Female,32,Surat,None,2,0,1,0
152,15759618,Alexeeva,3,Networks,Female,48,Ahmedabad,None,1,0,1,1
153,15811589,Metcalfe,5,Organic,Male,42,Mumbai,None,2,0,1,0
154,15689044,Humphries,3,Networks,Male,37,Bangalore,Silver,1,0,1,0
155,15709368,Milne,4,Networks,Female,43,New Delhi,None,2,1,1,0
156,15679145,Chou,5,Organic,Male,57,Surat,None,1,0,1,1
157,15655007,Li,5,Networks,Female,33,Surat,None,2,0,0,0
158,15623595,Clayton,3,Organic,Female,28,Bangalore,None,2,1,1,0
159,15589975,Maclean,4,Networks,Female,73,New Delhi,None,1,1,0,0
160,15804017,Chigolum,4,Direct,Female,33,Delhi,Base,1,0,0,0
161,15692132,Wilkinson,5,Organic,Female,22,New Delhi,None,1,1,0,0
162,15641122,Wei,4,Networks,Male,30,Bangalore,None,2,0,1,0
163,15630910,Treacy,5,Networks,Female,49,Surat,Base,1,0,0,0
164,15680772,Hu,5,Organic,Female,36,Bangalore,None,2,1,1,0
165,15658929,Taverner,4,Organic,Male,29,Kolkata,Silver,1,0,1,1
166,15585388,Sherman,4,Direct,Male,31,Ahmedabad,Base,2,1,1,0
167,15724623,Taubman,5,Direct,Female,24,Surat,Base,1,0,1,1
168,15588537,Robinson,4,Organic,Female,41,Ahmedabad,Base,1,0,1,0
169,15574692,Pinto,4,Organic,Female,39,Bangalore,None,2,0,1,1
170,15611325,Wood,4,Direct,Male,24,Ahmedabad,None,2,0,0,0
171,15587562,Hawkins,2,Networks,Female,29,Delhi,Silver,1,0,1,0
172,15613172,Sun,4,Direct,Male,27,Chennai,None,2,0,1,0
173,15651022,Yost,2,Direct,Male,44,Cochin,Silver,1,0,1,1
174,15586310,Ting,3,Networks,Male,30,Delhi,Platinum,1,0,1,0
175,15625524,Rowe,3,Networks,Male,40,Chennai,None,2,1,1,0
176,15755209,Fu,2,Organic,Female,35,Surat,Silver,1,1,1,0
177,15645248,Ho,3,Networks,Female,30,Kolkata,None,2,1,1,0
178,15790355,Okechukwu,4,Direct,Male,36,Chennai,Platinum,2,0,0,0
179,15762615,Campbell,3,Organic,Female,40,Mumbai,None,1,1,0,0
180,15625426,Ashbolt,5,Direct,Female,55,Chandigarh,Platinum,1,0,1,1
181,15716334,Rozier,6,Organic,Female,45,Bangalore,Base,1,1,1,0
182,15789669,Hsia,3,Networks,Male,65,Bangalore,None,2,1,1,0
183,15621075,Ogbonnaya,5,Direct,Female,45,Hyderabad,Platinum,2,0,1,0
184,15810845,T'ang,4,Networks,Male,42,Bangalore,None,2,1,1,0
185,15719377,Cocci,6,Networks,Female,50,Delhi,None,1,1,1,1
186,15654506,Chang,3,Networks,Male,32,Mumbai,None,2,0,1,0
187,15771977,T'ao,5,Networks,Female,39,Hyderabad,None,1,0,1,0
188,15708710,Ford,3,Organic,Female,37,Kolkata,None,1,1,0,0
189,15726676,Marshall,4,Organic,Male,30,Chennai,None,2,1,0,0
190,15587421,Tsai,4,Direct,Female,34,Surat,Base,2,0,1,0
191,15726931,Onwumelu,5,Networks,Female,41,Mumbai,None,2,0,0,1
192,15771086,Graham,3,Networks,Female,36,Chandigarh,None,2,0,1,0
193,15756850,Golovanov,2,Networks,Male,40,Hyderabad,None,2,0,0,0
194,15702741,Potts,4,Networks,Male,32,Mumbai,None,1,0,1,0
195,15679200,Crawford,3,Organic,Male,29,Ahmedabad,None,2,0,1,0
196,15594815,Aleshire,6,Networks,Male,35,Chandigarh,Platinum,1,1,1,0
197,15635905,Moran,4,Organic,Female,32,New Delhi,None,2,1,1,0
198,15777892,Samsonova,5,Direct,Male,37,Chandigarh,Base,1,1,1,0
199,15656176,Jenkins,3,Networks,Male,57,Cochin,None,2,1,1,0
200,15811127,Volkov,3,Networks,Male,35,New Delhi,None,1,0,1,0
201,15604482,Chiemezie,6,Organic,Male,30,Bangalore,Silver,1,1,1,0
202,15622911,Jude,5,Networks,Male,42,Delhi,None,1,1,0,0
203,15600974,He,3,Organic,Male,50,Chennai,None,1,1,0,1
204,15727868,Onuora,5,Networks,Female,38,Bangalore,Silver,2,1,1,1
205,15627801,Ginikanwa,3,Organic,Male,33,Chandigarh,Platinum,1,0,1,0
206,15773039,Ku,3,Networks,Male,37,Chandigarh,None,1,1,1,0
207,15755262,McDonald,4,Organic,Female,41,Chandigarh,None,1,0,0,1
208,15679531,Collins,4,Networks,Male,34,Chennai,Silver,1,1,1,0
209,15684181,Hackett,4,Networks,Male,45,Chennai,None,1,0,1,1
210,15612087,Dike,4,Networks,Male,45,Bangalore,None,1,1,0,0
211,15752047,Trevisano,4,Direct,Male,33,Bangalore,Platinum,2,0,1,0
212,15624592,Tan,4,Networks,Male,31,Mumbai,None,2,1,1,0
213,15573152,Glassman,4,Networks,Female,41,Ahmedabad,None,2,0,0,0
214,15594917,Miller,4,Networks,Female,34,Hyderabad,None,1,1,1,0
215,15785542,Kornilova,3,Direct,Male,26,Delhi,Base,2,0,0,0
216,15723488,Watson,4,Direct,Male,47,Surat,Base,1,1,0,1
217,15680920,Marchesi,4,Networks,Male,46,Surat,None,1,0,1,0
218,15786308,Millar,5,Organic,Female,33,Ahmedabad,None,2,0,0,0
219,15659366,Shih,6,Networks,Male,43,Hyderabad,None,2,0,1,1
220,15774854,Fuller,3,Networks,Male,54,Mumbai,None,1,1,1,1
221,15725311,Hay,5,Networks,Female,31,Ahmedabad,Base,2,1,1,0
222,15787155,Yang,3,Organic,Male,30,Surat,None,1,1,0,0
223,15727829,McIntyre,3,Networks,Male,42,Bangalore,None,2,1,1,0
224,15733247,Stevenson,6,Networks,Male,33,Cochin,None,1,0,1,1
225,15568748,Poole,4,Direct,Male,45,New Delhi,None,1,1,1,1
226,15699029,Bagley,4,Networks,Male,37,Delhi,Platinum,2,0,1,0
227,15774393,Ch'ien,4,Networks,Female,30,Ahmedabad,None,2,1,1,0
228,15676895,Cattaneo,3,Direct,Female,39,New Delhi,None,3,1,1,1
229,15637753,O'Sullivan,5,Direct,Male,50,Bangalore,None,1,0,1,1
230,15605461,Lucas,3,Direct,Female,29,Chandigarh,Silver,1,0,1,0
231,15808473,Ringrose,4,Networks,Male,72,Hyderabad,None,2,1,0,0
232,15627000,Freeman,4,Networks,Male,40,Kolkata,None,2,0,1,0
233,15787174,Sergeyev,3,Networks,Female,37,Hyderabad,None,2,1,0,0
234,15723886,Fiore,5,Direct,Male,20,Chandigarh,Base,2,1,0,0
235,15704769,Smith,3,Networks,Female,67,Chennai,Base,2,1,0,0
236,15772896,Dumetochukwu,5,Direct,Male,42,New Delhi,None,1,0,1,1
237,15711540,Pacheco,5,Networks,Female,29,Bangalore,None,1,1,1,0
238,15764866,Synnot,3,Direct,Female,43,Chandigarh,Base,3,0,1,1
239,15794056,Johnston,4,Networks,Female,46,Bangalore,None,3,0,1,1
240,15795149,Stevens,5,Networks,Male,28,Bangalore,None,2,1,0,0
241,15812009,Grant,4,Organic,Male,38,Delhi,None,2,0,1,0
242,15651001,Tsao,5,Direct,Female,39,Chennai,Base,1,0,1,0
243,15813844,Barnes,5,Networks,Male,37,Mumbai,None,2,1,0,0
244,15596175,McIntosh,4,Direct,Male,67,New Delhi,Base,1,1,1,1
245,15576269,Madison,3,Organic,Male,34,Surat,None,2,0,1,0
246,15797219,Ifesinachi,4,Networks,Female,40,Cochin,Base,1,0,1,1
247,15685500,Glazkov,5,Direct,Male,26,Surat,Gold,2,0,1,0
248,15599792,Dimauro,3,Networks,Female,26,Hyderabad,None,2,1,1,0
249,15657566,Wieck,4,Direct,Male,24,Mumbai,None,1,1,1,0
250,15772423,Liao,5,Direct,Male,54,Mumbai,Silver,1,0,1,1
251,15628112,Hughes,5,Direct,Female,36,Chennai,None,1,0,0,0
252,15753754,Morrison,3,Organic,Female,34,Hyderabad,None,2,1,1,0
253,15793726,Matveyeva,4,Networks,Female,79,Kolkata,None,2,1,0,0
254,15694717,Ku,3,Direct,Male,37,Bangalore,None,1,1,1,0
255,15665834,Cheatham,4,Organic,Male,28,Mumbai,None,1,0,0,0
256,15765297,Yao,5,Organic,Male,41,Kolkata,None,2,1,0,0
257,15636684,Kirkland,5,Networks,Male,34,Cochin,None,2,1,1,0
258,15592979,Rose,4,Direct,Female,34,New Delhi,None,2,0,0,0
259,15750803,Jess,4,Networks,Female,30,New Delhi,Silver,1,1,1,0
260,15607178,Welch,6,Direct,Male,38,Chandigarh,None,1,1,1,0
261,15713853,Ifeajuna,5,Direct,Male,42,Ahmedabad,Base,2,1,1,0
262,15673481,Morton,5,Organic,Female,48,New Delhi,None,1,0,1,0
263,15686776,Rossi,3,Networks,Female,32,New Delhi,Platinum,2,0,1,0
264,15673693,Reppert,4,Networks,Female,26,Kolkata,Base,1,1,0,0
265,15700696,Kang,5,Organic,Male,31,Ahmedabad,None,1,1,1,0
266,15813163,Ch'iu,3,Organic,Female,36,Ahmedabad,None,1,0,1,0
267,15653857,Wallis,2,Networks,Male,34,Bangalore,None,2,1,1,0
268,15777076,Clark,4,Networks,Male,36,Surat,None,2,0,1,0
269,15717398,Fielding,3,Organic,Female,39,Surat,None,1,0,0,1
270,15799217,Zetticci,5,Direct,Female,35,Surat,None,1,0,1,0
271,15787071,Dulhunty,4,Organic,Male,41,Ahmedabad,None,2,1,0,0
272,15619955,Bevington,5,Direct,Male,34,Chandigarh,None,3,0,1,1
273,15796505,Boyle,6,Direct,Female,34,Hyderabad,Gold,2,1,1,0
274,15725166,Newton,5,Networks,Male,30,Mumbai,None,2,0,1,0
275,15800116,Bowman,5,Direct,Male,28,Delhi,Silver,1,1,0,0
276,15758685,Dubinina,5,Organic,Female,37,Surat,None,2,1,1,0
277,15694456,Toscani,5,Networks,Male,62,Chandigarh,None,1,1,1,1
278,15767339,Chiazagomekpere,5,Networks,Female,53,Cochin,None,2,0,1,0
279,15683562,Allen,4,Networks,Male,35,New Delhi,None,1,1,0,0
280,15782210,K'ung,5,Networks,Male,46,Hyderabad,None,1,0,1,1
281,15668893,Wilsmore,5,Networks,Male,39,Mumbai,None,2,1,1,0
282,15669169,Hargreaves,5,Organic,Male,29,Cochin,None,2,1,1,0
283,15643024,Huang,2,Direct,Male,35,Delhi,Silver,1,1,1,1
284,15699389,Ch'ien,6,Networks,Male,42,Surat,Base,1,1,1,0
285,15708608,Wallwork,5,Networks,Female,22,Mumbai,Platinum,2,1,0,0
286,15626144,Chu,4,Networks,Male,40,Surat,Base,2,0,1,0
287,15573112,Kang,4,Organic,Male,29,Chennai,None,1,0,1,0
288,15790678,Davidson,2,Networks,Female,32,Mumbai,Base,1,0,1,0
289,15727556,O'Donnell,5,Organic,Female,26,Chennai,Platinum,1,1,1,0
290,15697307,Nnachetam,3,Organic,Male,34,Cochin,None,2,0,1,0
291,15652266,Chidiebele,5,Direct,Male,42,Ahmedabad,None,1,1,0,0
292,15607098,Ahmed,5,Organic,Female,41,Chennai,None,2,0,1,0
293,15655774,Booth,3,Networks,Male,27,Surat,None,2,0,1,0
294,15590241,Chuang,5,Organic,Female,34,Ahmedabad,Base,1,0,0,1
295,15785819,Shao,4,Networks,Male,38,Chandigarh,None,2,1,1,0
296,15723654,Tsao,5,Networks,Male,25,Bangalore,Silver,1,0,1,0
297,15774510,Tien,5,Networks,Female,31,Delhi,Base,1,1,1,0
298,15684173,Chang,4,Organic,Female,44,Surat,None,3,0,1,1
299,15650068,Johnson,3,Networks,Male,58,Kolkata,Gold,1,1,1,0
300,15811490,French,4,Networks,Male,33,Chennai,None,2,1,1,0
301,15803976,Efremov,4,Networks,Female,31,Cochin,None,2,0,1,0
302,15682541,Hartley,4,Organic,Female,36,New Delhi,Silver,1,0,0,0
303,15695699,Calabrese,4,Networks,Male,35,Mumbai,None,2,0,1,0
304,15624188,Chiu,5,Networks,Female,33,New Delhi,None,2,1,1,0
305,15812191,Brennan,3,Networks,Male,33,Delhi,Base,1,0,0,0
306,15636673,Onwuatuegwu,4,Networks,Male,31,Hyderabad,Base,1,1,1,0
307,15594898,Hewitt,5,Networks,Male,43,Bangalore,None,1,1,1,1
308,15660211,Shih,4,Direct,Male,35,Surat,Gold,2,0,1,0
309,15773972,Balashov,4,Networks,Male,50,Delhi,Silver,1,0,1,1
310,15746726,Doyle,2,Direct,Male,31,Mumbai,None,1,0,1,0
311,15712287,Pokrovskii,4,Networks,Female,80,Delhi,None,2,1,1,0
312,15702919,Collins,5,Direct,Male,30,New Delhi,None,1,0,1,0
313,15674398,Russo,4,Networks,Male,38,Chandigarh,None,2,0,0,0
314,15797960,Skinner,6,Direct,Female,59,Kolkata,Silver,1,0,1,0
315,15631868,Robertson,5,Organic,Male,36,Bangalore,Gold,1,1,1,0
316,15581539,Atkinson,2,Organic,Male,37,Chandigarh,None,2,0,0,0
317,15662736,Doyle,3,Networks,Male,49,Bangalore,Gold,1,0,1,1
318,15666252,Ritchie,5,Organic,Male,42,Ahmedabad,None,2,1,1,0
319,15677512,McEncroe,4,Organic,Female,22,Chandigarh,None,1,0,1,0
320,15626114,Pearson,2,Networks,Male,24,Delhi,None,1,0,1,0
321,15810834,Gordon,3,Organic,Female,57,Bangalore,Silver,1,1,1,0
322,15678910,Ts'ai,4,Networks,Female,30,Mumbai,Silver,1,1,1,0
323,15694408,Lung,5,Networks,Male,40,Hyderabad,Silver,1,0,1,1
324,15585215,Yuan,5,Networks,Female,31,Delhi,None,2,0,0,0
325,15682757,Pardey,5,Networks,Male,30,Chandigarh,None,2,0,1,0
326,15736601,Tai,5,Networks,Male,35,Delhi,Silver,1,0,1,0
327,15601848,Scott,3,Networks,Male,35,Bangalore,None,2,0,1,0
328,15736008,Hunter,4,Networks,Female,46,Ahmedabad,None,1,0,1,1
329,15669064,Mazzanti,4,Direct,Male,35,Hyderabad,Silver,1,1,1,0
330,15624528,L?,4,Direct,Male,26,Surat,Base,2,1,1,0
331,15598493,Beach,4,Networks,Male,50,Surat,None,2,1,0,0
332,15601274,Hsieh,4,Organic,Female,40,Hyderabad,Gold,1,0,1,0
333,15702669,Faulkner,4,Direct,Male,44,Bangalore,Base,2,1,0,0
334,15728669,Knowles,3,Direct,Female,30,Mumbai,Base,1,0,1,1
335,15742668,Day,4,Organic,Female,37,New Delhi,Base,1,0,1,0
336,15697441,Hsueh,2,Networks,Male,29,Surat,Platinum,1,0,1,1
337,15740476,Tsao,4,Direct,Female,32,Chandigarh,Gold,2,1,0,0
338,15648064,Kennedy,4,Networks,Male,33,Bangalore,None,2,0,1,0
339,15636624,Nwabugwu,6,Organic,Female,39,Chennai,Platinum,1,0,1,1
340,15807923,Young,5,Direct,Female,39,Cochin,Base,1,0,1,1
341,15745844,Kerr,4,Direct,Female,40,New Delhi,Silver,2,1,0,1
342,15786170,Tien,4,Networks,Male,31,Delhi,Base,1,0,0,0
343,15681081,Marrero,3,Organic,Female,47,Chennai,None,2,1,1,0
344,15684484,White,3,Networks,Male,22,Mumbai,None,2,0,0,0
345,15785869,Pisano,5,Networks,Female,25,Surat,None,2,0,1,0
346,15763859,Brown,6,Networks,Female,43,Surat,None,2,0,1,0
347,15658935,Freeman,4,Direct,Female,34,Ahmedabad,Base,2,0,1,0
348,15747358,Russell,4,Direct,Male,59,Chandigarh,Platinum,1,1,1,0
349,15735203,Seleznyov,4,Direct,Female,32,Hyderabad,Base,1,1,1,0
350,15576256,Yusupova,3,Networks,Male,39,Chennai,None,2,1,1,0
351,15659420,Foley,4,Organic,Male,32,Chandigarh,Base,2,1,1,0
352,15593365,Shih,5,Organic,Male,39,Bangalore,None,1,1,1,0
353,15777352,Ikedinachukwu,3,Organic,Female,32,Surat,Platinum,1,0,1,0
354,15812007,Power,4,Organic,Male,25,New Delhi,None,2,1,1,0
355,15625461,Amos,4,Networks,Female,45,Hyderabad,Platinum,2,1,1,0
